city,unit,lat,lon,station,station_name,resolution_source,wunderground,resolution_url,_coord_method
Amsterdam,C,52.3086,4.76389,EHAM,Amsterdam Airport Schiphol,wunderground,nl/schiphol/EHAM,https://www.wunderground.com/history/daily/nl/schiphol/EHAM,icao
Ankara,C,40.1281,32.9951,LTAC,Esenboğa Intl Airport,wunderground,tr/çubuk/LTAC,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC,icao
Atlanta,C,33.6367,-84.427864,KATL,Hartsfield-Jackson International Airport,wunderground,us/ga/atlanta/KATL,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL,icao
Austin,C,30.194527,-97.669876,KAUS,Austin-Bergstrom International Airport,wunderground,us/tx/austin/KAUS,https://www.wunderground.com/history/daily/us/tx/austin/KAUS,icao
Beijing,C,40.0801,116.585,ZBAA,Beijing Capital International Airport,wunderground,cn/beijing/ZBAA,https://www.wunderground.com/history/daily/cn/beijing/ZBAA,icao
Buenos Aires,C,-34.8222,-58.5358,SAEZ,Minister Pistarini Intl Airport,wunderground,ar/ezeiza/SAEZ,https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ,icao
Busan,C,35.1795,128.938,RKPK,Gimhae Intl Airport,wunderground,kr/busan/RKPK,https://www.wunderground.com/history/daily/kr/busan/RKPK,icao
Cape Town,C,-33.9648,18.6017,FACT,Cape Town International Airport,wunderground,za/matroosfontein/FACT,https://www.wunderground.com/history/daily/za/matroosfontein/FACT,icao
Chengdu,C,30.5785,103.947,ZUUU,Chengdu Shuangliu International Airport,wunderground,cn/chengdu/ZUUU,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU,icao
Chicago,C,41.97694,-87.90815,KORD,Chicago O'Hare Intl Airport,wunderground,us/il/chicago/KORD,https://www.wunderground.com/history/daily/us/il/chicago/KORD,icao
Chongqing,C,29.7192,106.642,ZUCK,Chongqing Jiangbei International Airport,wunderground,cn/chongqing/ZUCK,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,icao
Dallas,C,32.845945,-96.850877,KDAL,Dallas Love Field,wunderground,us/tx/dallas/KDAL,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL,icao
Denver,C,39.701761,-104.751961,KBKF,Buckley Space Force Base,wunderground,us/co/aurora/KBKF,https://www.wunderground.com/history/daily/us/co/aurora/KBKF,icao
Guangzhou,C,23.3924,113.299,ZGGG,Guangzhou Baiyun International Airport,wunderground,cn/guangzhou/ZGGG,https://www.wunderground.com/history/daily/cn/guangzhou/ZGGG,icao
Helsinki,C,60.3172,24.9633,EFHK,Helsinki Vantaa Airport,wunderground,fi/vantaa/EFHK,https://www.wunderground.com/history/daily/fi/vantaa/EFHK,icao
Hong Kong,C,22.3125,114.1742,,,hko,,https://www.weather.gov.hk/en/cis/climat.htm,observatory
Houston,C,29.6458,-95.277232,KHOU,William P. Hobby Airport,wunderground,us/tx/houston/KHOU,https://www.wunderground.com/history/daily/us/tx/houston/KHOU,icao
Istanbul,C,,,,,nws,,https://www.weather.gov/wrh/timeseries?site=LTFM,unknown
Jeddah,C,21.6796,39.1565,OEJN,King Abdulaziz International Airport,wunderground,sa/jeddah/OEJN,https://www.wunderground.com/history/daily/sa/jeddah/OEJN,icao
Jinan,C,36.8572,117.216,ZSJN,Jinan Yaoqiang International Airport,wunderground,cn/jinan/ZSJN,https://www.wunderground.com/history/daily/cn/jinan/ZSJN,icao
Karachi,C,24.9065,67.1608,OPKC,Masroor Airbase,wunderground,pk/karachi/OPKC,https://www.wunderground.com/history/daily/pk/karachi/OPKC,icao
Kuala Lumpur,C,2.74558,101.71,WMKK,Kuala Lumpur Intl Airport,wunderground,my/sepang-district/WMKK,https://www.wunderground.com/history/daily/my/sepang-district/WMKK,icao
London,C,51.5053,0.05528,EGLC,London City Airport,wunderground,gb/london/EGLC,https://www.wunderground.com/history/daily/gb/london/EGLC,icao
Los Angeles,C,33.942496,-118.408049,KLAX,Los Angeles International Airport,wunderground,us/ca/los-angeles/KLAX,https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX,icao
Lucknow,C,26.7606,80.8893,VILK,Chaudhary Charan Singh Intl Airport,wunderground,in/lucknow/VILK,https://www.wunderground.com/history/daily/in/lucknow/VILK,icao
Madrid,C,40.4936,-3.56676,LEMD,Adolfo Suárez Madrid-Barajas Airport,wunderground,es/madrid/LEMD,https://www.wunderground.com/history/daily/es/madrid/LEMD,icao
Manila,C,14.5086,121.02,RPLL,Ninoy Aquino International Airport,wunderground,ph/manila/RPLL,https://www.wunderground.com/history/daily/ph/manila/RPLL,icao
Mexico City,C,19.4363,-99.0721,MMMX,Benito Juárez International Airport,wunderground,mx/mexico-city/MMMX,https://www.wunderground.com/history/daily/mx/mexico-city/MMMX,icao
Miami,C,25.795361,-80.290116,KMIA,Miami Intl Airport,wunderground,us/fl/miami/KMIA,https://www.wunderground.com/history/daily/us/fl/miami/KMIA,icao
Milan,C,45.6306,8.72811,LIMC,Malpensa Intl Airport,wunderground,it/milan/LIMC,https://www.wunderground.com/history/daily/it/milan/LIMC,icao
Moscow,C,,,,,nws,,https://www.weather.gov/wrh/timeseries?site=UUWW,unknown
Munich,C,48.3538,11.7861,EDDM,Munich Airport,wunderground,de/munich/EDDM,https://www.wunderground.com/history/daily/de/munich/EDDM,icao
Nyc,C,40.777242,-73.872606,KLGA,LaGuardia Airport,wunderground,us/ny/new-york-city/KLGA,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,icao
Panama City,C,8.97334,-79.5556,MPMG,Marcos A. Gelabert Intl Airport,wunderground,pa/panama-city/MPMG,https://www.wunderground.com/history/daily/pa/panama-city/MPMG,icao
Paris,C,48.9694,2.44139,LFPB,Paris-Le Bourget Airport,wunderground,fr/bonneuil-en-france/LFPB,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,icao
Qingdao,C,36.365,120.09833,ZSQD,Qingdao Jiaodong International Airport,wunderground,cn/qingdao/ZSQD,https://www.wunderground.com/history/daily/cn/qingdao/ZSQD,icao
San Francisco,C,37.618806,-122.375417,KSFO,San Francisco International Airport,wunderground,us/ca/san-francisco/KSFO,https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO,icao
Sao Paulo,C,-23.43556,-46.47306,SBGR,Sao Paulo-Guarulhos International Airport,wunderground,br/guarulhos/SBGR,https://www.wunderground.com/history/daily/br/guarulhos/SBGR,icao
Seattle,C,47.449889,-122.311778,KSEA,Seattle-Tacoma International Airport,wunderground,us/wa/seatac/KSEA,https://www.wunderground.com/history/daily/us/wa/seatac/KSEA,icao
Seoul,C,37.4691,126.451,RKSI,Incheon Intl Airport,wunderground,kr/incheon/RKSI,https://www.wunderground.com/history/daily/kr/incheon/RKSI,icao
Shanghai,C,31.1434,121.805,ZSPD,Shanghai Pudong International Airport,wunderground,cn/shanghai/ZSPD,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,icao
